City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,College,US,64.8569,-147.8028,-2.25,77,75,0.0,light snow
1,Bandarbeyla,SO,9.4942,50.8122,75.31,62,0,14.18,clear sky
2,Bilibino,RU,68.0546,166.4372,-29.29,100,94,3.06,overcast clouds
3,Beringovskiy,RU,63.05,179.3167,6.01,88,100,13.98,overcast clouds
4,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,76,10.0,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,76.44,73,0,17.34,clear sky
6,Cayenne,GF,4.9333,-52.3333,80.1,87,90,1.99,moderate rain
7,Yellowknife,CA,62.456,-114.3525,-1.68,84,90,10.36,light snow
8,Vaini,TO,-21.2,-175.2,86.16,79,20,11.5,few clouds
9,Ushuaia,AR,-54.8,-68.3,47.86,61,40,24.16,light rain
10,Qaanaaq,GL,77.484,-69.3632,4.8,76,15,6.15,few clouds
11,Cidreira,BR,-30.1811,-50.2056,65.89,70,29,7.83,scattered clouds
12,Ostersund,SE,63.1792,14.6357,14.61,92,90,0.0,overcast clouds
13,Mataura,NZ,-46.1927,168.8643,68.49,37,52,0.85,light rain
14,Puerto Ayora,EC,-0.7393,-90.3518,69.98,84,76,10.13,broken clouds
15,Cape Town,ZA,-33.9258,18.4232,61.27,67,20,9.22,few clouds
16,Busselton,AU,-33.65,115.3333,64.04,58,25,12.37,scattered clouds
17,Castro,BR,-24.7911,-50.0119,66.34,81,16,7.74,few clouds
18,Katsuura,JP,35.1333,140.3,55.18,41,0,10.22,clear sky
19,Hermanus,ZA,-34.4187,19.2345,60.91,74,79,10.49,broken clouds
20,Torbay,CA,47.6666,-52.7314,38.57,83,90,8.05,overcast clouds
21,Coquimbo,CL,-29.9533,-71.3436,60.53,77,0,10.36,clear sky
22,Hithadhoo,MV,-0.6,73.0833,81.46,76,99,6.15,overcast clouds
23,Haines Junction,CA,60.7522,-137.5108,4.95,85,100,1.14,overcast clouds
24,Saint-Pierre,RE,-21.3393,55.4781,73.08,64,75,6.91,broken clouds
25,Muravlenko,RU,63.7898,74.523,27.81,99,100,7.18,overcast clouds
26,Tambopata,PE,-12.7333,-69.1833,80.92,65,99,1.28,overcast clouds
