City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saquarema,BR,-22.92,-42.5103,84.22,89,8,11.5,clear sky
1,Cabo San Lucas,MX,22.8909,-109.9124,85.3,63,100,5.99,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,56.48,62,97,4.41,overcast clouds
3,Villa Rica,US,33.7321,-84.9191,52.68,39,29,7.11,scattered clouds
4,Tiksi,RU,71.6872,128.8694,-22.58,100,95,5.97,overcast clouds
5,Poum,NC,-20.2333,164.0167,81.36,78,15,14.16,few clouds
6,Cape Town,ZA,-33.9258,18.4232,66.09,75,40,6.91,scattered clouds
7,Port Alfred,ZA,-33.5906,26.891,68.07,88,89,7.54,overcast clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,75,7.0,broken clouds
9,Bathsheba,BB,13.2167,-59.5167,83.01,69,40,14.97,scattered clouds
10,Tasiilaq,GL,65.6145,-37.6368,24.96,94,100,10.0,light snow
11,Kamenka,RU,51.3223,42.7678,47.75,79,100,30.98,overcast clouds
12,Bluff,NZ,-46.6,168.3333,56.8,76,100,7.72,overcast clouds
13,Albany,US,42.6001,-73.9662,32.52,69,68,3.0,broken clouds
14,Hilo,US,19.7297,-155.09,77.29,69,75,5.75,light rain
15,Sahuaripa,MX,29.05,-109.2333,81.61,23,28,4.29,scattered clouds
16,Naze,JP,28.3667,129.4833,66.51,74,88,13.09,overcast clouds
17,Klaksvik,FO,62.2266,-6.589,36.52,58,100,18.45,overcast clouds
18,Big Spring,US,32.2504,-101.4787,78.28,20,1,5.01,clear sky
19,Ushuaia,AR,-54.8,-68.3,44.26,61,40,21.85,scattered clouds
20,Siva,EG,29.2041,25.5195,70.12,26,88,13.35,overcast clouds
21,Mahebourg,MU,-20.4081,57.7,74.25,83,20,4.61,few clouds
22,Port Elizabeth,ZA,-33.918,25.5701,61.11,100,75,11.5,broken clouds
23,Grand Gaube,MU,-20.0064,57.6608,74.37,72,0,3.0,clear sky
24,Hithadhoo,MV,-0.6,73.0833,81.14,79,68,13.82,broken clouds
25,Qaqortoq,GL,60.7167,-46.0333,36.1,98,100,15.84,moderate rain
26,Clyde River,CA,70.4692,-68.5914,-0.17,78,75,5.75,broken clouds
27,Rikitea,PF,-23.1203,-134.9692,76.57,74,2,21.68,clear sky
28,Fagersta,SE,60.0042,15.7932,15.98,83,59,2.55,broken clouds
29,Barrow,US,71.2906,-156.7887,-18.38,76,40,8.05,scattered clouds
30,Bayan,CN,46.0833,127.4,11.48,97,100,2.91,overcast clouds
31,Chuy,UY,-33.6971,-53.4616,65.39,93,100,18.07,light rain
32,Vaini,TO,-21.2,-175.2,82.56,69,20,10.36,few clouds
33,Antofagasta,CL,-23.65,-70.4,65.48,75,9,5.77,clear sky
34,Geraldton,AU,-28.7667,114.6,64.81,68,90,14.97,overcast clouds
35,Lompoc,US,34.6391,-120.4579,87.69,52,1,12.66,clear sky
36,Ezhou,CN,30.4,114.8333,48.96,54,53,10.63,broken clouds
37,Marivan,IR,35.5219,46.176,48.25,61,1,4.72,clear sky
38,Elko,US,41.0002,-115.5012,60.75,32,9,8.01,clear sky
39,Ancud,CL,-41.8697,-73.8203,65.43,66,32,2.84,scattered clouds
40,Bredasdorp,ZA,-34.5322,20.0403,56.28,66,60,5.79,broken clouds
41,Ritchie,ZA,-29.038,24.6028,69.01,17,16,4.34,few clouds
42,Upernavik,GL,72.7868,-56.1549,21.69,95,100,5.01,light snow
43,Fairview,US,40.8126,-73.999,41.27,55,90,11.5,overcast clouds
44,Naron,ES,43.5167,-8.1528,52.03,87,97,5.3,overcast clouds
45,Ponta Do Sol,PT,32.6667,-17.1,63.72,68,25,4.56,scattered clouds
46,Castro,BR,-24.7911,-50.0119,68.45,87,25,4.79,scattered clouds
47,Thompson,CA,55.7435,-97.8558,23.16,86,90,5.75,light snow
48,Busselton,AU,-33.65,115.3333,57.04,62,30,9.73,scattered clouds
49,College,US,64.8569,-147.8028,-7.78,71,75,0.0,broken clouds
50,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,73,0,12.66,clear sky
51,San Remigio,PH,11.0809,123.9381,79.12,86,81,5.97,broken clouds
52,Lixourion,GR,38.2019,20.4314,54.34,77,86,32.21,overcast clouds
53,Saint-Philippe,RE,-21.3585,55.7679,76.55,86,59,7.94,broken clouds
54,Lorengau,PG,-2.0226,147.2712,83.46,76,100,8.39,overcast clouds
55,Maine-Soroa,NE,13.2114,12.0241,75.65,13,8,9.78,clear sky
56,Kyra,RU,49.5776,111.9753,7.84,82,74,5.84,broken clouds
57,Lagoa,PT,39.05,-27.9833,60.75,58,79,4.16,broken clouds
58,Khash,IR,28.2211,61.2158,53.2,45,84,1.34,broken clouds
59,Solnechnyy,RU,50.7214,136.6319,9.12,95,100,5.48,overcast clouds
60,Hobart,AU,-42.8794,147.3294,65.01,74,20,4.0,few clouds
61,Misratah,LY,32.3754,15.0925,60.94,37,0,26.13,clear sky
62,Vanimo,PG,-2.6741,141.3028,79.2,89,100,3.47,overcast clouds
63,Bosaso,SO,11.2842,49.1816,75.24,69,10,2.15,clear sky
64,Toledo,ES,39.8333,-4.0,52.09,75,37,3.0,scattered clouds
65,Chokurdakh,RU,70.6333,147.9167,-13.18,99,100,3.56,overcast clouds
66,San Policarpo,PH,12.1791,125.5072,80.35,81,100,3.89,overcast clouds
67,Mizan Teferi,ET,6.9833,35.5833,64.33,61,87,3.18,overcast clouds
68,New Norfolk,AU,-42.7826,147.0587,64.65,73,22,3.36,few clouds
69,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,76.23,59,0,3.11,clear sky
70,Pangnirtung,CA,66.1451,-65.7125,19.4,79,90,8.05,light snow
71,Kapaa,US,22.0752,-159.319,84.18,67,20,7.0,few clouds
72,Vaitape,PF,-16.5167,-151.75,81.3,76,100,14.27,light rain
73,Jamestown,US,42.097,-79.2353,32.34,92,90,5.99,light snow
74,Bengkulu,ID,-3.8004,102.2655,74.91,86,98,9.6,overcast clouds
75,Peleduy,RU,59.6289,112.7406,9.75,94,100,7.43,light snow
76,Shelburne,CA,44.0787,-80.2041,30.76,93,75,6.44,broken clouds
77,Khatanga,RU,71.9667,102.5,-29.67,100,97,4.59,overcast clouds
78,Punta Arenas,CL,-53.15,-70.9167,51.91,46,40,27.63,scattered clouds
79,Coihaique,CL,-45.5752,-72.0662,60.75,44,40,10.36,scattered clouds
80,Takoradi,GH,4.8845,-1.7554,79.68,83,87,8.75,overcast clouds
81,Harper,LR,4.375,-7.7169,79.83,78,100,6.38,overcast clouds
82,Saint Anthony,US,45.0205,-93.218,53.53,44,90,9.22,overcast clouds
83,West Wendover,US,40.7391,-114.0733,43.81,45,1,4.61,clear sky
84,La Asuncion,VE,11.0333,-63.8628,92.93,55,88,18.41,overcast clouds
85,The Valley,AI,18.217,-63.0578,84.06,74,40,12.66,scattered clouds
86,Hanna,CA,51.6334,-111.9018,48.22,73,17,3.0,few clouds
87,Kulhudhuffushi,MV,6.6221,73.07,78.53,87,100,15.7,overcast clouds
88,Hasaki,JP,35.7333,140.8333,30.6,62,20,4.59,few clouds
89,Jacmel,HT,18.2342,-72.5347,84.04,79,62,2.93,broken clouds
90,Plettenberg Bay,ZA,-34.0527,23.3716,62.4,79,69,5.28,broken clouds
91,Santa Ines,BR,-3.6667,-45.38,79.97,75,88,0.18,overcast clouds
92,Saskylakh,RU,71.9167,114.0833,-24.59,100,94,4.38,overcast clouds
93,Kavieng,PG,-2.5744,150.7967,83.73,75,100,17.85,light rain
94,Karratha,AU,-20.7377,116.8463,80.49,66,2,9.15,light rain
95,Grindavik,IS,63.8424,-22.4338,36.07,87,90,10.36,overcast clouds
96,Qaanaaq,GL,77.484,-69.3632,8.83,62,100,5.97,overcast clouds
97,Faya,SA,18.3851,42.4509,55.51,49,0,5.95,clear sky
98,Chake Chake,TZ,-5.2459,39.7666,77.77,87,91,6.08,light rain
99,Aasiaat,GL,68.7098,-52.8699,32.41,99,100,4.9,snow
100,Pringsewu,ID,-5.3582,104.9744,72.57,96,97,0.92,overcast clouds
101,Provideniya,RU,64.3833,-173.3,-1.64,60,0,6.71,clear sky
102,Alofi,NU,-19.0595,-169.9187,80.49,61,40,12.66,scattered clouds
103,Sitka,US,57.0531,-135.33,37.29,65,90,18.41,light rain
104,Avarua,CK,-21.2078,-159.775,80.65,57,20,13.8,few clouds
105,Montepuez,MZ,-13.1256,38.9997,70.95,80,36,6.13,scattered clouds
106,Hermanus,ZA,-34.4187,19.2345,61.9,76,44,9.17,scattered clouds
107,Dikson,RU,73.5069,80.5464,-14.39,96,100,16.24,overcast clouds
108,Yerbogachen,RU,61.2767,108.0108,-5.24,98,98,6.15,overcast clouds
109,Atar,MR,20.5169,-13.0499,64.65,27,5,9.98,clear sky
110,Hofn,IS,64.2539,-15.2082,26.29,90,100,11.01,snow
111,Flinders,AU,-34.5833,150.8552,67.21,83,91,1.01,overcast clouds
112,Guaraniacu,BR,-25.1008,-52.8781,68.86,61,78,3.33,broken clouds
113,Sola,VU,-13.8833,167.55,81.27,89,90,3.44,overcast clouds
114,Severo-Kurilsk,RU,50.6789,156.125,32.38,78,93,32.26,overcast clouds
115,Lumberton,US,34.6182,-79.0086,50.68,34,6,4.5,clear sky
116,Tongren,CN,27.7172,109.1853,48.02,88,75,2.51,broken clouds
117,Kibuye,RW,-2.0597,29.3482,64.98,82,98,1.45,light rain
118,Ranau,MY,5.9538,116.6641,68.65,88,75,3.09,broken clouds
119,Sibolga,ID,1.7427,98.7792,74.53,88,99,2.17,overcast clouds
120,Fort Nelson,CA,58.8053,-122.7002,6.39,78,75,4.61,broken clouds
121,Victoria,HK,22.2855,114.1577,71.33,71,1,10.0,clear sky
122,Vung Tau,VN,10.346,107.0843,78.57,87,100,16.93,overcast clouds
123,Laguna,US,38.421,-121.4238,76.01,59,1,3.0,clear sky
124,Ibra,OM,22.6906,58.5334,63.84,89,0,1.12,clear sky
125,San Cristobal,VE,7.7669,-72.225,77.18,76,99,3.83,overcast clouds
126,Jacareacanga,BR,-6.2222,-57.7528,81.81,76,100,0.56,overcast clouds
127,Palembang,ID,-2.9167,104.7458,74.79,93,99,1.32,overcast clouds
128,Oktyabrskiy,RU,54.4815,53.471,32.25,80,100,13.6,overcast clouds
129,Torbay,CA,47.6666,-52.7314,44.58,88,75,8.05,broken clouds
130,Nicoya,CR,10.1483,-85.452,81.95,81,100,13.02,overcast clouds
131,Pevek,RU,69.7008,170.3133,-0.22,97,100,2.19,overcast clouds
132,Alta Floresta,BR,-9.8756,-56.0861,74.14,93,100,0.51,moderate rain
133,Makakilo City,US,21.3469,-158.0858,79.12,67,90,10.36,light rain
134,San Patricio,US,28.017,-97.5169,74.05,41,49,4.79,scattered clouds
135,Lebu,CL,-37.6167,-73.65,56.53,79,81,18.81,broken clouds
136,Limon,CR,10.0,-83.0333,76.89,88,90,5.75,overcast clouds
137,Luderitz,NA,-26.6481,15.1594,61.0,88,0,11.92,clear sky
138,Dryden,CA,49.7833,-92.7503,25.09,93,90,6.91,overcast clouds
139,Kavaratti,IN,10.5669,72.642,80.89,79,91,12.39,overcast clouds
140,Whitehorse,CA,60.7161,-135.0538,9.1,84,90,2.3,overcast clouds
